system:index,2BDA,3BDA,AreaSqKm,CI,Date,FLHV,Lake,Lake No,Longitude,NDCI,OC2,OC3,.geo
20160625T214531_20160626T005852_T06WVU_19,0.996644301,0.005524852,1.292,-0.06095656,40711,-0.057199999,YF14,18,-146.948035,-0.001680669,2.196652685,1.502092026,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.948035,66.227703]}"
20160625T214531_20160626T005852_T06WVU_14,0.858156008,0.198019834,0.288,-0.05996174,40707,-0.058299999,Lake_1-46-2,13,-146.790458,-0.07633589,2.284140913,1.555066041,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.790458,66.195409]}"
20160625T214531_20160626T005852_T06WWU_19,1,0,1.292,-0.06095656,40711,-0.057199999,YF14,18,-146.948035,0,2.196652685,1.502092026,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.948035,66.227703]}"
20160625T214531_20160626T005852_T06WWU_10,0.882175207,0.195979941,0.68,-0.0621209,40707,-0.054599998,YF03,9,-145.691556,-0.062600332,2.081188046,1.473267275,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
20160625T214531_20160626T005852_T06WWU_13,0.89928061,0.16374263,0.79,-0.05893545,41165.45139,-0.0568,YF09,12,-145.7015556,-0.053030284,2.265033403,1.583518928,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
20160625T214531_20160626T005852_T06WWU_22,1.26376809,-0.116101034,3.413,-0.159218412,40710,-0.132500004,Twelvemile Lake,21,-145.54564,0.116517275,1.881570241,1.049900227,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
20160625T214531_20160626T005852_T06WWU_8,1.030405417,-0.032028482,0.268,-0.0614208,40707,-0.055499999,YF04,7,-146.186808,0.014975047,2.06730765,1.453846124,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.186808,66.501153]}"
20160625T214531_20160626T005852_T06WWU_7,0.932835863,0.097297233,2.832,-0.06014932,40710,-0.059900001,Canvasback Lake,6,-146.358557,-0.034749012,2.310722165,1.590809672,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.358557,66.384025]}"
20160625T214531_20160626T005852_T06WWU_12,1.090425578,-0.123636425,1.746,-0.0641045,40711,-0.0495,YF17,11,-146.267024,0.043257018,1.854922268,1.319516399,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.267024,66.320636]}"
20160625T214531_20160626T005852_T06WWU_2,0.874100729,0.188172024,0.155,-0.0593954,40707,-0.056600001,Lake_1-46-3,1,-146.774584,-0.067178497,2.214592319,1.521459258,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.774584,66.204813]}"
20160625T214531_20160626T005852_T06WWU_14,0.858156008,0.197044367,0.288,-0.05996174,40707,-0.058299999,Lake_1-46-2,13,-146.790458,-0.07633589,2.284140913,1.555066041,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.790458,66.195409]}"
20160625T214531_20160626T005852_T06WWU_3,0.945701365,0.081081069,0.781,-0.05527002,40711,-0.058200001,Abraham Lake,2,-146.719589,-0.027906973,2.462311592,1.655778918,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.719589,66.188766]}"
20160625T214531_20160626T005852_T06WWU_15,0.961165054,0.079470187,3.331,-0.06078592,40345,-0.0539,Ninemile Lake,14,-146.660943,-0.019801977,2.069444442,1.448412697,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.660943,66.185801]}"
20160625T214531_20160626T005852_T06WWU_9,0.881679378,0.200000021,4.555,-0.0587412,40710,-0.056900001,Scoter Lake,8,-146.411736,-0.062880331,2.226293132,1.540948295,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.411736,66.235088]}"
20160625T214531_20160626T005852_T06WWU_16,0.902222227,0.121546961,0.501,-0.05571309,41167.5625,-0.0581,West Crazy Lake,15,-146.596,-0.051401867,2.427518441,1.668304677,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.596,65.9286111]}"
20160625T214531_20160626T005852_T06WWU_4,0.878906307,0.197452131,0.967,-0.0589155,40342,-0.057100001,Greenpepper Lake,3,-146.731136,-0.064449032,2.202105291,1.520000019,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.731136,66.095279]}"
20160625T214531_20160626T005852_T06WWV_17,1.034120725,-0.071823185,0.593,-0.06365225,40710,-0.046899999,YF20,16,-145.774929,0.016774189,1.788235253,1.302520978,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.774929,66.637751]}"
20160625T214531_20160626T005852_T06WWV_10,0.882175207,0.195979941,0.68,-0.0621209,40707,-0.054599998,YF03,9,-145.691556,-0.062600332,2.081188046,1.473267275,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
20160625T214531_20160626T005852_T06WWV_13,0.89928061,0.16374263,0.79,-0.05893545,41165.45139,-0.0568,YF09,12,-145.7015556,-0.053030284,2.265033403,1.583518928,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
20160625T214531_20160626T005852_T06WWV_11,0.92941181,0.116883039,1.625,-0.0588369,41165.40625,-0.059599998,YF18,10,-145.7885278,-0.036585341,2.357630883,1.605922486,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7885278,66.7845]}"
