system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 3, 2016",,,,,,,-0.032,,-0.281,-0.083,,-0.159,,,,-0.142,-0.045,,,-0.07,,,-0.239,0.041
"Jun 8, 2016",,,,,,,,,,,,,,,,,,-0.084,,,,0.27,,
"Jun 10, 2016",,,,,,-0.165,-0.055,-0.061,-0.304,-0.216,-0.31,-0.12,,,,-0.366,-0.06,,-0.088,-0.076,,,-0.199,-0.012
"Jun 10, 2016",-0.223,0.006,0.084,-0.629,0.294,-0.203,,-0.06,,,-0.443,,0.114,-0.228,0.924,,,-0.257,0.056,,0.062,0.085,,
"Jun 17, 2016",0.164,0.368,0.197,,0.064,-0.097,0.039,0.064,-0.254,-0.124,-0.293,-0.139,0.348,-0.085,,-0.371,0.003,0.164,-0.125,-0.039,0.666,0.61,-0.229,-0.025
"Jun 17, 2016",0.206,0.529,0.251,0.789,0.111,,,0.104,,,,,0.48,-0.081,0.373,,,0.211,-0.12,,0.85,0.735,,
"Jun 24, 2016",,,,0.245,,,,,,,,,,,,,,-0.29,,,0.046,0.121,,
"Jun 24, 2016",,,,0.326,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,-0.058,0.019,-0.079,-0.251,-0.079,-0.101,-0.156,,,,-0.321,-0.083,,-0.27,-0.078,,,-0.2,-0.038
"Jun 26, 2016",,,,-0.042,,-0.065,,-0.082,,,-0.104,,,,,,,,-0.265,,0.23,0.017,,
"Jul 5, 2016",,,,,,,,,-0.166,,,-0.083,,,,-0.159,-0.013,,,,,,-0.267,
"Jul 5, 2016",,,,,,,,,,,,,,,0.348,-0.156,,,,,,,-0.266,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,-0.072,,,,,,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2016",,,,,,-0.022,0.125,-0.042,-0.239,-0.074,0.539,-0.173,,,,-0.397,-0.066,,-0.259,-0.133,,,-0.241,-0.004
"Jul 12, 2016",-0.169,-0.001,-0.051,0.075,0.046,-0.018,,-0.037,,,0.525,,-0.043,-0.235,0.137,,,-0.155,-0.21,,-0.041,0.059,,
"Jul 19, 2016",,,,,-0.09,-0.024,,,,-0.013,0.618,-0.349,,,,-0.269,,-0.107,,,,,,
"Jul 26, 2016",,,,0.089,,,,,,,,,,,,,,,,,,0.101,,
"Jul 26, 2016",,,,0.053,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2016",,,,,,,,,-0.203,-0.108,,0.138,,,,-0.215,-0.259,,,-0.243,,,-0.294,-0.12
"Aug 13, 2016",,,,,,0.715,,,0.423,,,,,,,,-0.279,,0.025,-0.065,,,,0.017
"Aug 13, 2016",-0.203,-0.049,-0.087,,,0.677,,,,,,,-0.221,-0.213,0.264,,,-0.162,0.007,,0.012,,,
"Aug 27, 2016",,,,-0.037,,,,,,,,,,,,,,-0.057,,,-0.055,,,
"Aug 27, 2016",,,,-0.034,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.169,,0.006,,0.211,0.648,,,,,,,,-0.099,0.121,,,,
"Aug 29, 2016",-0.225,-0.078,0.074,0.493,0.473,0.119,,-0.001,,,0.621,,-0.33,-0.173,-0.013,,,-0.083,,,0.366,0.017,,
"Sep 5, 2016",,,,,,-0.195,0.015,,-0.233,-0.189,,-0.177,,,,-0.278,-0.145,-0.12,,-0.241,,-0.066,-0.359,-0.149
"Sep 7, 2016",,,,,,,0.267,,-0.194,-0.214,,-0.161,,,,-0.404,-0.133,,,0.056,,,-0.244,0.158
"Sep 7, 2016",,-0.109,-0.159,,-0.083,-0.057,0.228,-0.204,,,1.265,,,-0.245,-0.073,-0.416,,,-0.208,0.05,,,-0.246,0.135
"Sep 21, 2016",,0.059,,-0.081,,,,,,,,,0.003,,0.179,,,,0.313,,0.07,,,
"Sep 30, 2016",-0.103,0.002,,0.188,-0.003,,,,,,,,-0.113,-0.026,0.203,,,-0.074,-0.223,,0.184,,,
"Oct 7, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Oct 9, 2016",,,,,,,0.035,,-0.561,-0.149,,-0.157,,,,-0.304,-0.128,,,-0.117,,,-0.213,
"Oct 9, 2016",,-0.019,-0.137,,-0.145,-0.134,-0.002,-0.128,,,,,,-0.14,,,,,-0.249,-0.129,,,-0.243,
"Oct 14, 2016",,,,-0.095,,,,,,,,,,,,,,-0.142,,,-0.13,-0.081,,
"Oct 14, 2016",,,,-0.11,,,,,,,,,,,,,,,,,,,,
