system:index,Image+_Date,2BDA,3BDA,AreaSqKm,CI,Date,FLHV,Lake,Lake No,Longitude,NDCI,OC2,OC3,.geo
LC08_068013_20160907_13,9/7/16,0.488372093,0.283950617,0.79,-0.00555847,41165.45139,0.0011,YF09,12,-145.7015556,-0.34375,0.864197531,0.814814815,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
LC08_068013_20160907_22,9/7/16,0.987068966,0.003649635,3.413,-0.021267,40710,0.0056,Twelvemile Lake,21,-145.54564,-0.006507592,0.795620438,0.850364964,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_068013_20160907_21,9/7/16,1.117647059,0.094170404,1.17,-0.01843922,41167.39583,0.0024,Buddy Lake,20,-145.44285,0.055555556,0.892376682,0.932735426,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
LC08_068013_20160907_25,9/7/16,0.533057851,-0.170347003,1.164,-0.01943445,40711,0.0144,YF02,24,-145.866087,-0.30458221,0.545741325,0.593059937,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.866087,66.538895]}"
LC08_068013_20160907_8,9/7/16,1.265734266,0.187845304,0.268,-0.01522804,40707,8.00E-04,YF04,7,-146.186808,0.117283951,0.955801105,0.977900552,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.186808,66.501153]}"
LC08_068013_20160907_18,9/7/16,0.547169811,0.290697674,1.627,-0.00550368,40711,0.0027,YF08,17,-145.558603,-0.292682927,0.686046512,0.906976744,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.558603,66.703426]}"
LC08_068013_20160907_11,9/7/16,0.421686747,0.109243697,1.625,-0.00863937,41165.40625,0.0025,YF18,10,-145.7885278,-0.406779661,0.789915966,0.806722689,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7885278,66.7845]}"
LC08_068014_20160907_22,9/7/16,0.946938776,0.117845118,3.413,-0.02497293,40710,0.0011,Twelvemile Lake,21,-145.54564,-0.027253669,0.962962963,0.942760943,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_068014_20160907_21,9/7/16,1.075757576,0.240816327,1.17,-0.0223485,41167.39583,-0.0027,Buddy Lake,20,-145.44285,0.03649635,1.110204082,1.048979592,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
LC08_068014_20160907_25,9/7/16,0.533864542,-0.032738095,1.164,-0.02327336,40711,0.0088,YF02,24,-145.866087,-0.303896104,0.738095238,0.714285714,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.866087,66.538895]}"
