system:index,2BDA,3BDA,AreaSqKm,CI,Date,FLHV,Lake,Lake No,Longitude,NDCI,OC2,OC3,.geo
LC08_070014_20160921_5,0.735294118,0.024193548,0.747,-0.00955696,41166.73264,0.003,Sands of Time,4,-147.544,-0.152542373,0.758064516,0.846774194,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-147.544,66.0339167]}"
LC08_070014_20160921_23,0.937823834,0.230769231,4.229,-0.02188782,41166.6875,-0.0044,Twin Lake,22,-147.493,-0.032085561,1.199095023,1.104072398,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-147.493,66.1859722]}"
LC08_070014_20160921_14,1.623376623,-0.777777778,0.288,-0.0018167,40707,0.013,Lake_1-46-2,13,-146.790458,0.237623762,-0.444444444,0.077777778,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.790458,66.195409]}"
LC08_070014_20160921_3,1.025974026,-0.207317073,0.781,-0.0051639,40711,0.0054,Abraham Lake,2,-146.719589,0.012820513,0.341463415,0.731707317,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.719589,66.188766]}"
LC08_070014_20160921_20,1.321867322,-0.272076372,0.988,-0.03165471,41167.44097,0.0135,Thumb Lake,19,-146.144,0.138624339,0.677804296,0.69928401,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.144,66.17525]}"
LC08_070014_20160921_16,1.308724832,-0.042168675,0.501,-0.01445366,41167.5625,0.0016,West Crazy Lake,15,-146.596,0.13372093,0.903614458,0.855421687,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.596,65.9286111]}"
