system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Buddy Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 3, 2016",,,,,,,0.145,,-0.402,0.175,,-0.062,,,,-0.271,-0.101,,,-0.407,0.2,,,-0.154
"Jun 3, 2016",,,0.513,,0.395,0.118,-0.102,0.273,,,-0.164,,,0.352,,-0.723,,,0.17,-0.696,0.056,,,-0.462
"Jun 8, 2016",,,,,,,,,,,,,,,,,,,,,,,0.234,
"Jun 8, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 10, 2016",,,,,,0.138,0.015,0.125,-0.28,-0.09,-0.249,0.092,,,,-0.348,0.123,,0.098,-0.237,0.132,,,-0.065
"Jun 10, 2016",-0.149,0.219,0.294,0.44,0.065,-0.131,,0.133,,,-0.596,,0.238,-0.142,-0.4,,,-1.152,-0.865,,,0.42,0.703,
"Jun 17, 2016",-0.28,-0.101,0.188,,0.096,0.023,-0.109,0.021,-0.282,-0.099,-0.357,-0.071,-0.011,-0.271,,-0.428,-0.082,-0.252,-0.193,-0.255,0.068,-0.192,0,-0.191
"Jun 17, 2016",-0.391,-0.329,0.117,-0.068,-0.038,,,-0.165,,,,,-0.173,-0.393,0.218,,,-0.383,-0.359,,,-0.356,-0.103,
"Jun 19, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 24, 2016",,,,0.193,,,,,,,,,,,,,,-0.432,,,,0.016,0.288,
"Jun 24, 2016",,,,0.04,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,0.377,0.211,0.392,-0.125,0.377,-0.141,0.131,,,,-0.235,0.344,,-0.215,0.12,0.359,,,0.073
"Jun 26, 2016",,,,0.737,,0.344,,0.346,,,-0.191,,,,,,,,-0.202,,,0.056,0.699,
"Jul 3, 2016",,,,,,-0.151,,,-0.119,,,,,,,-0.434,-0.581,,,-0.159,,,,-0.5
"Jul 3, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 5, 2016",,,,,,,,,-0.026,,,0.06,,,,-0.005,0.49,,,,,,,-0.025
"Jul 5, 2016",,,,,,,,,,,,,,,1.286,-0.036,,,,,,,,-0.047
"Jul 10, 2016",,,,,,,,,,,,,,,,,,-0.014,,,,,,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2016",,,,,,0.339,0.064,0.369,-0.05,0.319,-0.09,-0.032,,,,-0.247,0.216,,-0.247,-0.144,0.128,,,-0.112
"Jul 12, 2016",0.078,0.267,0.409,0.43,0.369,0.261,,0.295,,,-0.105,,0.259,-0.089,0.505,,,0.074,-0.288,,,0.441,0.707,
"Jul 19, 2016",,,,,0.577,0.062,,,,0.524,-0.147,0.043,,,,,,0.387,,,,,,
"Jul 19, 2016",,,,,0.632,,,,,,,,,,,,,-0.064,,,,,,
"Jul 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 26, 2016",,,,0.605,,,,,,,,,,,,,,,,,,,0.456,
"Jul 26, 2016",,,,0.54,,,,,,,,,,,,,,,,,,,,
"Jul 28, 2016",,,,,,,,,,0.606,,-0.202,,,,,,,,,,,,-0.172
"Jul 28, 2016",,,,-0.435,,,,,,,,,,,,,,,,,,,0.915,
"Aug 4, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2016",,,,,,,,,0.224,0.413,,-0.159,,,,0.099,0.013,,,-0.205,0.15,,,-0.011
"Aug 6, 2016",,,,,,,,,,,,,,,,0.097,,,,-0.085,0.063,,,0.006
"Aug 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 13, 2016",,,,,,-0.196,,,-0.146,,,,,,,,-0.234,,-0.062,-0.29,0.113,,,
"Aug 13, 2016",-0.1,0.116,0.236,,,-0.192,,,,,,,-0.305,-0.103,0.275,,,0.138,0.072,,,0.459,,
"Aug 20, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 22, 2016",,,,,,,,,,,,,,,,-0.323,,,,,,,,-0.363
"Aug 27, 2016",,,,0.23,,,,,,,,,,,,,,0.327,,,,0.365,,
"Aug 27, 2016",,,,0.126,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.255,,-0.058,,-0.131,-0.357,,,,,,,,-0.191,,-0.201,,,
"Aug 29, 2016",-0.192,0.241,-0.097,-0.194,-0.169,0.345,,-0.069,,,-0.366,,-0.483,-0.033,0.5,,,0.343,,,,0.18,0.613,
"Sep 5, 2016",,,,,,-0.168,0.25,,0.038,0.008,,0.195,,,,-0.097,0.142,0.552,,-0.403,0,,0.704,-0.248
"Sep 5, 2016",,,,,,,,,,,,,,,,,,0.45,,,,0.643,0.65,
"Sep 7, 2016",,,,,,,0.054,,0.133,0.18,,0.453,,,,-0.354,0.425,,,-0.559,-0.194,,,-0.251
"Sep 7, 2016",,0.444,0.16,,0.495,0.046,0.069,0.12,,,-0.296,,,-0.041,0.585,-0.403,,,-0.366,-0.418,-0.219,,,-0.283
"Sep 14, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 21, 2016",,-0.282,,,,,0.091,,,,,,0,,,,-0.262,,-0.601,-0.467,-0.087,-0.144,,
"Sep 21, 2016",,-0.708,,-0.065,,,,,,,,,0,,-0.166,,,,-0.592,,,-0.144,,
"Sep 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,
