system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Jun 15, 2016",,,,,,,,,0.006,0.006,,0.007,,,,0.006,0.006,,,0.007,,,,0.009
"Jun 17, 2016",0.043,0.037,0.034,,0.024,0.024,0.026,0.027,0.025,0.025,0.04,0.024,0.032,0.035,,0.026,0.023,0.049,0.027,0.022,0.057,0.052,0.022,0.071
"Jun 17, 2016",0.043,0.037,0.034,0.073,0.024,,,0.027,,,,,0.032,0.035,0.033,,,0.049,0.027,,0.057,0.052,,
"Jun 19, 2016",,,,,,,2.173,,2.072,1.652,,1.859,,,,1.883,2.082,,,2.419,,,2.389,2.619
"Jun 22, 2016",0.028,0.002,0.003,,0.007,0.189,0.018,0.002,0.016,0.038,0.016,0.418,0.011,0.001,-0.019,0.065,0.019,0.042,-0.004,-0.013,,,0.001,-0.007
"Jun 24, 2016",0.019,,,0.019,,,,,,,,,0.015,,,,,0.021,,,0.019,0.019,,
"Jun 24, 2016",,,,0.019,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,0.03,0.032,0.028,0.03,0.027,0.049,0.028,,,,0.039,0.027,,0.034,0.027,,,0.026,0.091
"Jun 26, 2016",0.225,0.301,2.376,0.038,1.517,0.03,,0.028,,,0.049,,0.359,0.262,1.421,,,0.477,0.034,,0.023,0.033,,
"Jun 27, 2016",,,,0.163,,,,,,,,,,,,,,,,,0.09,0.007,,
"Jun 29, 2016",0.008,0.008,0.007,0.008,0.008,0.009,,0.009,,,0.01,,0.009,0.008,0.009,,,0.007,0.008,0.009,0.01,,,0.01
"Jun 29, 2016",0.008,0.008,0.007,0.008,,0.009,0.007,0.009,0.008,0.009,0.01,0.008,0.008,0.009,,0.009,0.008,0.008,0.008,0.01,0.01,0.005,0.008,0.01
"Jul 1, 2016",,,,,,,,,0.199,0.189,,0.222,,,,0.141,0.201,,,0.059,,,,0.115
"Jul 3, 2016",0.198,0.255,1.105,,0.417,0.065,0.26,0.201,0.065,0.377,0.094,0.155,0.266,0.167,,0.094,0.087,0.172,0.514,0.384,0.173,0.123,0.052,0.14
"Jul 3, 2016",0.198,0.258,1.105,0.521,0.416,,,0.201,,,,,0.264,0.167,1.249,,,0.171,0.519,,0.173,0.122,,
"Jul 5, 2016",,,,,,,0.085,,0.044,0.05,,0.049,,,,0.049,0.04,,,0.026,,,0.04,0.049
"Jul 5, 2016",,1.697,0.166,,2.887,0.267,0.068,2.289,,,1.783,,,2.088,0.04,0.049,,,2.525,0.026,,,0.04,0.051
"Jul 6, 2016",,,,,,0.043,0.027,,,,,,,,,,,,,,0.005,0.047,0.08,
"Jul 8, 2016",0.007,0.002,0.001,,-0.005,0.026,0.105,0.003,0.13,0.071,0.025,0.126,-0.003,0.002,0.002,0.109,0.039,0.003,0.004,0.082,,,0.078,0.067
"Jul 10, 2016",0.137,,,0.299,,,,,,,,,0.027,,,,,0.031,,,1.367,0.207,,
"Jul 10, 2016",,,,0.297,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2016",,,,,,0.024,0.043,0.023,0.028,0.024,0.075,0.031,,,,0.031,0.025,,0.031,0.025,,,0.027,0.128
"Jul 12, 2016",0.023,0.027,0.021,0.026,0.023,0.024,,0.023,,,0.075,,0.022,0.027,0.027,,,0.022,0.031,,0.022,0.026,,
"Jul 15, 2016",0.024,0.023,0.005,0.009,,0.029,0.048,0.016,0.081,0.073,0.022,0.074,0.022,0.029,,0.052,0.077,0.015,0.004,0.028,0.019,0.014,0.041,0.044
"Jul 19, 2016",0.02,0.163,0.052,,0.022,0.033,0.025,0.417,0.261,0.02,0.095,0.027,0.021,0.159,,0.027,0.719,0.024,0.016,0.03,0.146,0.497,0.111,0.289
"Jul 19, 2016",0.02,0.159,0.05,0.023,0.022,,,0.417,,,,,0.021,0.16,0.026,,,0.024,0.013,,0.142,0.504,,
"Jul 21, 2016",,,,,,,0.401,,0.401,0.09,,0.29,,,,0.286,0.099,,,0.831,,,0.228,1.456
"Jul 21, 2016",,0.593,1.186,,0.627,0.324,0.405,0.133,,,0.047,,,0.518,0.605,0.285,,,0.039,0.825,,,0.225,1.46
"Jul 26, 2016",0.23,,,0.029,,,,,,,,,0.38,,,,,0.065,,,0.254,0.024,,
"Jul 26, 2016",,,,0.029,,,,,,,,,,,,,,,,,,,,
"Jul 28, 2016",,,,,,0.021,0.155,0.079,0.087,0.02,0.151,0.072,,,,0.132,0.028,,0.241,0.199,,,0.043,0.654
"Jul 28, 2016",0.009,0.106,0.073,0.06,0.466,0.023,,0.08,,,0.149,,0.039,0.021,1.143,,,0.032,0.243,,0.159,0.031,,
"Aug 4, 2016",0.761,0.92,0.596,0.447,0.649,,,0.61,,,,,0.889,1.079,0.943,,,0.986,0.498,,0.629,0.54,,
"Aug 6, 2016",,,,,,,0.131,,0.019,0.019,,0.065,,,,0.02,0.019,,,0.021,,,0.023,0.152
"Aug 6, 2016",,0.129,0.363,,0.236,0.231,0.132,0.229,,,0.564,,,0.166,0.227,0.02,,,0.278,0.021,,,0.022,0.163
"Aug 11, 2016",0.461,,,0.306,,,,,,,,,0.369,,,,,0.299,,,0.49,0.139,,
"Aug 11, 2016",,,,0.301,,,,,,,,,,,,,,,,,,,,
"Aug 13, 2016",,,,,,0.031,0.018,0.115,0.028,0.084,0.076,0.153,,,,0.163,0.017,,0.039,0.016,,,0,0.116
"Aug 13, 2016",0.016,0.021,0.015,0.102,0.09,0.031,,0.113,,,0.076,,0.016,0.026,0.014,,,0.015,0.039,,0.016,0.174,,
"Aug 20, 2016",1.208,1.314,1.467,,1.532,1.162,1.513,1.758,0.775,1.007,1.518,0.993,1.306,1.322,,0.689,0.806,0.452,1.636,1.757,0.472,0.526,1.445,1.729
"Aug 22, 2016",,0.088,0.029,,0.607,0.018,0.334,0.547,,,0.491,,,0.066,0.548,0.056,,,0.537,0.557,,,0.063,0.518
"Aug 27, 2016",0.014,,,0.016,,,,,,,,,0.015,,,,,0.013,,,0.015,0.099,,
"Aug 27, 2016",,,,0.016,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.073,0.112,0.024,0.148,0.032,0.113,0.114,,,,0.216,0.117,,0.023,0.033,,,0.11,0.198
"Aug 29, 2016",0.014,0.015,0.031,0.047,0.053,0.073,,0.024,,,0.114,,0.013,0.018,0.011,,,0.013,0.023,,0.011,0.018,,
