system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Aug 20, 2016",0.029,0.024,0.021,,0.023,0.02,0.018,0.019,0.024,0.03,0.018,0.031,0.03,0.019,,0.026,0.028,0.039,0.02,0.017,0.056,0.061,0.017,0.018
"Aug 22, 2016",,0.069,0.061,,0.036,-0.042,0.07,0.037,,,0.063,,,0.06,0.063,0.039,,,0.037,0.042,,,0.029,0.049
"Aug 27, 2016",-0.04,,,-0.033,,,,,,,,,-0.041,,,,,-0.035,,,-0.034,0.032,,
"Aug 27, 2016",,,,-0.033,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.009,0.037,-0.032,0.036,-0.018,0.028,0.025,,,,0.051,0.024,,-0.037,-0.021,,,0.003,0.093
"Aug 29, 2016",-0.046,-0.036,-0.028,-0.001,0.001,0.009,,-0.032,,,0.028,,-0.045,-0.045,-0.033,,,-0.036,-0.037,,0.003,-0.03,,
"Sep 5, 2016",-0.014,0.055,0.044,,0.054,-0.041,-0.03,0.024,-0.044,-0.039,0.063,-0.039,-0.005,0.013,,-0.047,-0.038,-0.037,0.031,-0.043,-0.034,-0.035,-0.058,0.077
"Sep 5, 2016",-0.014,0.055,0.044,0.063,0.054,,,0.024,,,,,-0.006,0.013,0.051,,,-0.037,0.031,,-0.034,-0.035,,
"Sep 7, 2016",,,,,,,-0.018,,-0.042,-0.042,,-0.039,,,,-0.069,-0.038,,,-0.027,,,-0.05,0.069
"Sep 7, 2016",,-0.036,-0.04,,-0.035,-0.035,-0.018,-0.042,,,0.117,,,-0.047,-0.034,-0.07,,,-0.043,-0.027,,,-0.05,0.07
"Sep 14, 2016",0.03,0.03,0.03,0.039,0.037,0.036,,0.031,,,0.034,,0.035,0.031,0.038,,,0.033,0.033,,0.038,0.04,,
"Sep 21, 2016",0.07,-0.028,0.031,,0.07,0.044,-0.028,0.067,0.022,0.066,0.052,0.034,-0.021,0.07,,0.037,-0.011,0.059,-0.001,-0.032,-0.026,0.027,0.005,0.04
"Sep 21, 2016",0.071,-0.028,0.031,-0.032,0.07,,,0.066,,,,,-0.021,0.07,-0.02,,,0.058,-0.001,,-0.026,0.027,,
"Sep 23, 2016",,,,,,,0.026,,0.022,0.026,,0.015,,,,0.025,0.023,,,0.042,,,0.027,0.046
"Sep 23, 2016",,0.036,0.041,,0.031,0.021,0.026,0.029,,,0.021,,,0.029,0.016,0.025,,,0.029,0.042,,,0.027,0.046
"Sep 30, 2016",,,,,,0.049,0.012,0.027,0.057,0.038,0.029,0.051,,,,0.044,0.05,,-0.039,0.05,,,0.056,0.043
"Sep 30, 2016",-0.033,-0.028,-0.03,-0.02,-0.027,0.049,,0.027,,,0.029,,-0.033,-0.029,-0.021,,,-0.031,-0.039,,-0.021,-0.004,,
"Oct 7, 2016",0.027,0.025,0.024,,0.027,0.02,0.025,0.021,-0.003,0.013,0.02,0.014,0.027,0.021,,0.015,0.014,0.024,0.02,0.017,0.03,0.025,0.008,0.018
"Oct 7, 2016",0.027,0.025,0.024,0.03,0.027,,,0.021,,,,,0.027,0.021,0.021,,,0.024,0.02,,0.03,0.025,,
"Oct 9, 2016",,,,,,,-0.025,,-0.078,-0.032,,-0.032,,,,-0.039,-0.031,,,-0.03,,,-0.035,-0.029
"Oct 9, 2016",,-0.028,-0.032,,-0.031,-0.032,-0.027,-0.031,,,-0.008,,,-0.032,-0.028,,,,-0.034,-0.03,,,-0.035,-0.029
"Oct 14, 2016",,,,-0.027,,,,,,,,,,,,,,-0.028,,,-0.028,-0.027,,
"Oct 14, 2016",,,,-0.027,,,,,,,,,,,,,,,,,,,,
